Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,7.980000,7.990000,7.570000,7.630000,7.455020,5478600
2021-03-02,8.140000,9.650000,8.040000,9.130000,8.920620,40070800
2021-03-03,12.170000,12.450000,9.320000,9.620000,9.399383,94546500
2021-03-04,9.940000,10.910000,8.350000,8.730000,8.529793,27170600
2021-03-05,8.860000,8.860000,7.750000,8.680000,8.480940,12503500
2021-03-08,8.770000,8.780000,8.100000,8.160000,7.972865,8279400
2021-03-09,8.250000,8.940000,8.150000,8.680000,8.586163,8539800
2021-03-10,8.710000,9.228000,8.530000,8.580000,8.487244,8571400
2021-03-11,8.780000,8.840000,8.450000,8.650000,8.556486,5201200
2021-03-12,8.600000,8.600000,8.230000,8.300000,8.210271,6942100
2021-03-15,8.390000,8.680000,8.220000,8.400000,8.309189,5368400
2021-03-16,8.490000,8.580000,8.310000,8.460000,8.368541,4827100
2021-03-17,8.500000,9.140000,8.210000,9.050000,8.952163,10812000
2021-03-18,9.400000,10.050000,8.855000,8.980000,8.882918,15618800
2021-03-19,9.490000,9.510000,8.720000,8.860000,8.764216,14065300
2021-03-22,8.450000,8.790000,8.270000,8.780000,8.685081,7093100
2021-03-23,8.700000,8.850000,8.330000,8.440000,8.348757,5158600
2021-03-24,8.450000,8.690000,8.010000,8.130000,8.042109,9431100
2021-03-25,8.000000,8.250000,7.700000,8.190000,8.101460,6554900
2021-03-26,8.270000,8.290000,7.760000,7.980000,7.893730,7466700
2021-03-29,7.910000,8.180000,7.810000,7.940000,7.854162,7042400
2021-03-30,7.950000,7.950000,7.540000,7.860000,7.775027,5557100
2021-03-31,7.830000,8.020000,7.750000,7.930000,7.844270,3785300
2021-04-01,8.000000,8.070000,7.720000,7.750000,7.666216,4448100
2021-04-05,7.850000,7.900000,7.650000,7.750000,7.666216,3365200
2021-04-06,7.700000,7.950000,7.560000,7.940000,7.854162,5334900
2021-04-07,7.960000,8.030000,7.720000,7.750000,7.666216,3556000
2021-04-08,7.760000,7.928000,7.720000,7.820000,7.735460,2852700
2021-04-09,7.820000,7.860000,7.710000,7.710000,7.626649,2549900
2021-04-12,7.710000,7.773000,7.500000,7.510000,7.428811,3447400
2021-04-13,7.510000,7.780000,7.470000,7.690000,7.606865,2941600
2021-04-14,7.580000,7.685000,7.490000,7.590000,7.507946,3530200
2021-04-15,7.540000,7.850000,7.360000,7.580000,7.498054,6572200
2021-04-16,7.500000,7.510000,7.305000,7.490000,7.409027,5410700
2021-04-19,7.410000,7.640000,7.360000,7.500000,7.418919,3714900
2021-04-20,7.500000,7.550000,7.180000,7.230000,7.151838,5199300
2021-04-21,7.300000,7.600000,7.230000,7.440000,7.359568,6660500
2021-04-22,7.480000,7.885000,7.400000,7.640000,7.557405,6008700
2021-04-23,7.750000,7.920000,7.670000,7.850000,7.765135,3024400
2021-04-26,7.880000,8.170000,7.850000,8.160000,8.071784,2767500
2021-04-27,8.190000,8.340000,7.890000,8.290000,8.200378,2926400
2021-04-28,8.220000,8.441000,8.200000,8.210000,8.121243,3311200
2021-04-29,8.390000,8.410000,7.960000,8.300000,8.210271,3632600
2021-04-30,8.230000,8.250000,8.050000,8.160000,8.071784,2097900
2021-05-03,8.210000,8.227000,7.750000,7.900000,7.814595,4296100
2021-05-04,7.790000,7.920000,7.550000,7.870000,7.784919,3033300
2021-05-05,7.860000,7.970000,7.710000,7.800000,7.715676,2344500
2021-05-06,7.480000,7.480000,7.020000,7.190000,7.112270,10785700
2021-05-07,7.270000,7.300000,6.940000,6.960000,6.884757,6524500
2021-05-10,7.030000,7.080000,6.600000,6.720000,6.647351,9726400
2021-05-11,6.360000,6.865000,6.250000,6.790000,6.716595,8472100
2021-05-12,6.740000,7.610000,6.700000,7.380000,7.300217,10522400
2021-05-13,7.350000,7.800000,7.030000,7.420000,7.339784,8753900
2021-05-14,7.460000,7.570000,7.255000,7.510000,7.428811,4006200
2021-05-17,8.080000,8.680000,7.852000,8.120000,8.032216,16969600
2021-05-18,8.300000,8.580000,8.130000,8.420000,8.328973,7328200
2021-05-19,8.140000,8.660000,7.990000,8.360000,8.269622,6756000
2021-05-20,8.320000,8.570000,8.120000,8.320000,8.230054,4412900
2021-05-21,8.370000,8.440000,8.010000,8.070000,7.982757,4472800
